fan_state,window_start,window_end,timestamp_start,timestamp_end,timestamp_mean,accel_x_g_mean,accel_x_g_std,accel_x_g_skew,accel_x_g_kurtosis,accel_x_g_rms,accel_x_g_peak,accel_x_g_root_amplitude,accel_x_g_crest_factor,accel_x_g_shape_factor,accel_x_g_impulse_factor,accel_x_g_clearance_factor,accel_y_g_mean,accel_y_g_std,accel_y_g_skew,accel_y_g_kurtosis,accel_y_g_rms,accel_y_g_peak,accel_y_g_root_amplitude,accel_y_g_crest_factor,accel_y_g_shape_factor,accel_y_g_impulse_factor,accel_y_g_clearance_factor,accel_z_g_mean,accel_z_g_std,accel_z_g_skew,accel_z_g_kurtosis,accel_z_g_rms,accel_z_g_peak,accel_z_g_root_amplitude,accel_z_g_crest_factor,accel_z_g_shape_factor,accel_z_g_impulse_factor,accel_z_g_clearance_factor,gyro_x_dps_mean,gyro_x_dps_std,gyro_x_dps_skew,gyro_x_dps_kurtosis,gyro_x_dps_rms,gyro_x_dps_peak,gyro_x_dps_root_amplitude,gyro_x_dps_crest_factor,gyro_x_dps_shape_factor,gyro_x_dps_impulse_factor,gyro_x_dps_clearance_factor,gyro_y_dps_mean,gyro_y_dps_std,gyro_y_dps_skew,gyro_y_dps_kurtosis,gyro_y_dps_rms,gyro_y_dps_peak,gyro_y_dps_root_amplitude,gyro_y_dps_crest_factor,gyro_y_dps_shape_factor,gyro_y_dps_impulse_factor,gyro_y_dps_clearance_factor,gyro_z_dps_mean,gyro_z_dps_std,gyro_z_dps_skew,gyro_z_dps_kurtosis,gyro_z_dps_rms,gyro_z_dps_peak,gyro_z_dps_root_amplitude,gyro_z_dps_crest_factor,gyro_z_dps_shape_factor,gyro_z_dps_impulse_factor,gyro_z_dps_clearance_factor,collection_id
LOW,0,100,1770047573.9532,1770047672.9513,1770047623.488183,0.2667943930000001,0.09205344475098393,-0.25465156515800175,-1.2021760205415548,0.2822287810035697,0.413086,0.2578305441669601,1.4636565361304352,1.05785124578525,1.548330890147305,1.602160835267458,-0.04083495469999999,0.1261716745331653,-0.21038681922714278,-0.9726985988313515,0.13261517628029623,0.306396,0.09960195001843052,2.31041430245057,1.1878232300747,2.744363779547621,3.0762048327698803,-1.0893631000000001,0.02700593748400527,0.26656066094705594,-0.5507298318955614,1.0896977949417903,1.14575,1.089195100231076,1.0514383027279632,1.0003072391030963,1.0517613456890544,1.0519235715960582,-0.92488569,1.4868954284433535,-0.06567727725793468,-0.6054793418228162,1.7510772554894658,4.42748,1.1826526190043998,2.528432132917185,1.2421002049840708,3.1405660705847467,3.743685955498255,0.515877207,3.164103216784584,0.18655573819786864,-1.171167383884087,3.2058818535885996,6.89313,2.365153994615336,2.150150977112263,1.1762563742400924,2.5291287924068624,2.9144529344361296,1.1263355299999998,12.90378773574274,-0.10868278309198554,-1.002173349135916,12.95285179623565,26.2672,9.581778862925526,2.0279086345783526,1.1815743330989172,2.396124792487453,2.741369882959295,col_20260201_134448_1hz
LOW,20,120,1770047594.0724,1770047694.1662,1770047643.6961288,0.26989256799999994,0.09292660541060765,-0.3649319998438561,-1.1049756097936225,0.2854423799206653,0.406494,0.2606195046273346,1.4240842586618685,1.057614820726243,1.5061326179237366,1.559722095939268,-0.03751708308,0.13097997689601887,-0.16854667615866506,-1.0586406133370474,0.13624714995372658,0.306396,0.10252355943781305,2.2488250220577886,1.178826357697663,2.650974209851749,2.988542357289578,-1.0881741,0.0258568054908181,0.3289925119847207,-0.3643295859208653,1.0884812567522695,1.13574,1.0880198323164076,1.0434171401248908,1.0002822680233516,1.043711663418565,1.0438596487547434,-0.893588055,1.504495696668834,-0.18379376857728322,-0.35886338345244306,1.7498591124241185,4.99237,1.235602720526993,2.8530125451551123,1.2257056069227106,3.4969534732174545,4.040432994409983,0.43725144200000005,3.0763130744670284,0.12220685000734634,-1.1106688824372208,3.107232040847265,6.89313,2.3049235929434126,2.218414945965997,1.1726418178821785,2.6014061350545616,2.990611064550473,0.53999917,12.873337896191073,-0.043035213498575746,-1.0153081085258937,12.884658617639424,26.2672,9.555968043099977,2.0386415177534882,1.182360344325726,2.410408886887735,2.7487743660849313,col_20260201_134448_1hz
LOW,40,140,1770047614.0538,1770047714.1746,1770047663.9329069,0.264028318,0.09265430983237788,-0.287552189459957,-1.1171473781349768,0.2798138199525238,0.426025,0.2547185933236944,1.5225302312526376,1.0597871549237525,1.613557982064636,1.6725320065607097,-0.04356198658,0.13710456397792925,-0.0809765154438835,-1.018270406546813,0.1438586394290388,0.306396,0.10561670512037939,2.129840802165629,1.1903215281084911,2.535195358261606,2.901018353590724,-1.0891286,0.026023034643177196,0.4863041670512818,0.104265024528015,1.089439445618709,1.13574,1.0889721693401395,1.0424994290113996,1.000285407635709,1.0427969663086618,1.0429467639087593,-1.0181681679999997,1.5041989046908748,-0.12798357242368955,-0.5373383107983867,1.8163922382573934,4.99237,1.300318433606474,2.7485087718661303,1.2171217832557324,3.3452698977077278,3.839344172145207,0.5964879889999999,3.0900408210438988,-0.04662291076176941,-1.0743058899961055,3.147085984961154,6.50382,2.402880377045391,2.066616556102861,1.1618426397157349,2.401083234822789,2.7066765628995526,0.92717485,12.697800288908612,-0.01958283516126441,-1.1405186248163584,12.73160576594642,24.145,9.705247887590959,1.8964614867812908,1.1636693016972557,2.2068540140185235,2.4878292939711075,col_20260201_134448_1hz
LOW,60,160,1770047634.0222,1770047734.2833,1770047684.176364,0.261706508,0.0922418916444114,-0.17531841149879177,-1.1603861593296527,0.2774866895973452,0.426025,0.2526297723838771,1.535298866472462,1.0602972456357302,1.6278731593484101,1.686361017468062,-0.039746071880000004,0.13601144209173294,-0.10501944350724013,-0.9727101185795455,0.141699903351283,0.306396,0.1039014626441934,2.162287995641218,1.193949619417042,2.581662929465871,2.9489094012972794,-1.0874926999999999,0.026421638550816647,0.5841204455284155,-0.002178349251678924,1.0878136216912344,1.13574,1.087330991778387,1.0440575272759078,1.00029510238665,1.0443656311440068,1.0445209495430985,-0.7903054119999999,1.3761994159837383,-0.17005929250679463,-0.24315565449604648,1.586980616387759,4.99237,1.1172847838501958,3.145829223398767,1.224420880648694,3.8518189880843154,4.468305728460875,0.507556871,3.1444522728197164,-0.07148050436836925,-1.058723777988205,3.1851521271895926,6.50382,2.4755922548786637,2.0419181691452275,1.1545195543871298,2.357434454736532,2.6271773904538946,0.7982429699999999,12.759237931130027,0.017201327417061197,-1.190236871684518,12.784183369396017,24.145,9.67953325592046,1.8886618959018202,1.1623358244445827,2.1952593818701107,2.4944384570642164,col_20260201_134448_1hz
LOW,80,180,1770047653.9767,1770047754.1956,1770047704.4179404,0.256533194,0.09669997805554749,-0.13265553175683087,-1.309488232233951,0.2741535434383167,0.426025,0.24638472589682162,1.5539649594055078,1.068686430646931,1.6607012658174753,1.72910475050473,-0.03891112468,0.1356447369072892,-0.09842473416581954,-0.9448010929673583,0.1411154501623058,0.295166,0.10160832528898012,2.091663242122042,1.2042856084642148,2.5189599402411753,2.9049391293531346,-1.0884177000000002,0.02463249779681306,0.5873638658398128,0.12032645514154083,1.0886963991953864,1.13574,1.0882773395604157,1.0432109455302523,1.00025605904368,1.043478069127321,1.0436126515863646,-0.6704579789999998,1.4761628812428091,-0.16582724702989385,-0.07991341272268526,1.6212867585852404,4.99237,1.1491704593342753,3.079264031217043,1.2216769207313984,3.76186579977619,4.3443250385083205,0.5465647210000001,2.9581053788123284,-0.21996764377432837,-0.8294785914221974,3.008175597667171,6.50382,2.3389857715079434,2.162047988502961,1.1573983120491718,2.502350692462634,2.7806154612932894,1.12442657,12.697646003917644,-0.02641399609291212,-1.2051388136844123,12.747334982345434,24.145,9.838534053279657,1.8941214013313286,1.1513066249672115,2.1807145178449368,2.4541257741493823,col_20260201_134448_1hz
LOW,100,200,1770047674.0233,1770047774.1524,1770047724.6597052,0.260051244,0.09765338819782682,-0.13329620921374133,-1.251540932204184,0.27778198957539163,0.426025,0.24981168374250354,1.533666745821814,1.0681817371940416,1.6382348088286782,1.705384606586818,-0.04770019488,0.13182281741275445,-0.025641917847455006,-0.9533402327190754,0.14018760209885317,0.295166,0.10028132820534898,2.1055071602684516,1.2049535192446519,2.5370382625602845,2.9433794434351728,-1.0875705,0.02437919909984739,0.4199004819801142,0.12849518366767176,1.0878437101987581,1.13965,1.0874331707940719,1.0476229161556456,1.000251211483539,1.0478860910626024,1.0480184259670855,-0.7787785729999999,1.4514180116090372,-0.06028190871475734,-0.02534222478220638,1.6471521818541985,4.99237,1.1824824003330325,3.030909988159134,1.2145498487810193,3.681191267787557,4.221940215426425,0.39809165500000004,2.979245748832772,-0.2273015968583936,-0.7874646574274204,3.005724903865752,6.50382,2.3056614000079527,2.163810797067704,1.166355375862861,2.523772355510019,2.8208044771784646,0.7871740900000003,12.94562791536626,-0.015796447922278432,-1.1466962504483162,12.969538356128082,25.3206,9.905455387625167,1.9523131282491688,1.1585315820146573,2.2618164170584945,2.5562277562355074,col_20260201_134448_1hz
LOW,120,220,1770047695.2064,1770047794.1515,1770047744.6950672,0.257690389,0.09485506214409002,-0.053833447751243386,-1.2810130244685887,0.27459391726207355,0.426025,0.24816223287041475,1.5514728230246995,1.0655962697237944,1.6532436527929646,1.7167197243202656,-0.04926268889999999,0.1345902846336363,-0.016808435769459926,-0.9709505283843716,0.14332256359492535,0.295166,0.1036614044767722,2.0594524169567046,1.1998717318447276,2.471078738185651,2.8474049863576654,-1.0898559,0.024117713411308292,0.27577683657736496,0.003971738972143424,1.090122721011263,1.14526,1.0897220078929302,1.0505789650339443,1.000244822284545,1.050836170176259,1.050965284453103,-0.9051906420000002,1.4231833150673419,0.15595705399940404,-0.43533807783556355,1.686659671258681,4.36641,1.2018747112327943,2.588791369358786,1.2091082329322116,3.130128958035562,3.6329993128162745,0.5436643399999999,3.112378856558263,-0.25641219443532504,-0.9594836404532483,3.1595051924848234,6.50382,2.49748377882984,2.058493214529269,1.1458891818086963,2.3588051053556964,2.6041490459839025,0.84847279,12.753490699541993,0.05596770869311695,-1.1512227424100843,12.781683421939167,25.3206,9.890229249187938,1.981006661183484,1.1522084459354194,2.282532606469936,2.560163102597345,col_20260201_134448_1hz
LOW,140,240,1770047715.211,1770047814.1602,1770047764.696264,0.26082270900000004,0.0936909109603051,-0.1360936606824499,-1.2772945562981317,0.27713980646357983,0.423828,0.2515106777597629,1.529293122515394,1.0625601103758944,1.6249658690570532,1.6851292508735178,-0.044807123100000006,0.12401808383948754,-0.060741068460116676,-0.9053054345710998,0.13186418543227238,0.295166,0.09566707550236139,2.2384091558477195,1.2016725273645907,2.6898347875835693,3.0853456996572897,-1.0904490000000002,0.02425215279104104,0.1887645143430427,-0.548086639153861,1.0907186569028697,1.14526,1.0903138245471615,1.0500049602635404,1.0002472897887655,1.0502646157683666,1.050394825981097,-0.9154960280000002,1.4298588988403067,0.14699438900221862,-0.3491089432119856,1.6978308066107737,4.36641,1.2052160383285033,2.5717580238258666,1.2121415099136597,3.1173346541328555,3.6229272272676614,0.6449619999999999,3.130192700162525,-0.3157458097351856,-0.804753120721875,3.1959477970697145,7.17557,2.4912957268950877,2.2452087629776374,1.1549813711290107,2.5931742955347814,2.8802562146818844,1.5325193600000002,12.391261860787594,0.014661268642105511,-1.1729621997069266,12.485671231110647,25.3206,9.661057665841932,2.027972668134049,1.1530816280821488,2.3384180258781084,2.6208931646816107,col_20260201_134448_1hz
LOW,160,260,1770047735.227,1770047834.182,1770047784.6925247,0.26219480900000003,0.09562773606147967,-0.19148793266344477,-1.3273672769307094,0.2790892003836596,0.423828,0.2524372791992138,1.5186112519487325,1.064434499859452,1.6164622084489855,1.6789437809838346,-0.050246569799999995,0.12569721241333687,0.04616101735220431,-0.9374098055923406,0.13536804270266228,0.302246,0.09972925926950811,2.232772181421633,1.1881362840922196,2.652837642858778,3.0306652452236826,-1.0910204000000001,0.02412450409521406,0.12994328459801732,-0.5255428828486521,1.0912870863865292,1.14526,1.0908868022326397,1.0494580338086708,1.0002444375802038,1.0497145607909806,1.0498431163124153,-0.9676334290000002,1.4755600875427064,0.20880523328248238,-0.38457201536079655,1.7645373401737172,4.36641,1.2904369306527246,2.4745353360275906,1.1973189724398112,2.962808105798558,3.383667885102604,0.7261069599999999,3.022780881298441,-0.37073143252002316,-0.7080993902352462,3.1087675329145825,7.17557,2.43392369326084,2.3081719440348896,1.1530254274190923,2.6613809423275856,2.9481491222868033,1.3570233800000002,12.688386533465719,0.03699661557989965,-1.2809417295700345,12.760747050094709,25.3206,10.209364671238205,1.984256869962176,1.1331050385336705,2.248371457099192,2.480134740541997,col_20260201_134448_1hz
LOW,180,280,1770047755.1549,1770047854.1632,1770047804.692753,0.26904050999999995,0.09453942655553661,-0.29149226408292983,-1.1926762030670688,0.28516749322899654,0.423828,0.25954543101949296,1.4862423314836086,1.0599425834756133,1.575331536503555,1.6329626699079465,-0.037058079,0.12844781943764283,0.04588875937363442,-0.9507456857947005,0.13368673658016916,0.302246,0.10088542048642173,2.260852555247688,1.1742345780397438,2.6547712462213453,2.995933391987791,-1.0885695,0.02645033959611861,0.17975189068960948,-0.5213321640213073,1.088890801134347,1.14526,1.088408406623573,1.0517675407000688,1.0002951590452855,1.0520779794032444,1.0522336955782896,-0.981679328,1.3428750345180662,0.14800072487085475,-0.4952357997998713,1.6634324937773788,3.55725,1.1925928020106764,2.1384997667816843,1.2116862295543445,2.5911907193145436,2.982786743306333,0.60038171,3.1146874510796723,-0.1943166910491409,-0.9172886257192259,3.1720239777807024,7.17557,2.4578114705999017,2.262142420821285,1.1580279877918278,2.6196242356822066,2.919495691933031,0.7789306500000001,12.859878320106228,0.10992773611849163,-1.276281484488287,12.883446874398466,25.3206,10.155864177509509,1.9653591346207364,1.140467583404065,2.241428382782016,2.4931999441340786,col_20260201_134448_1hz
LOW,200,300,1770047775.1543,1770047875.1194,1770047824.7890613,0.268884257,0.09465985985114732,-0.21013019096842675,-1.3501219224326424,0.28506005109359134,0.415771,0.25958882274216843,1.4585382918615049,1.0601589482183456,1.5462824214360753,1.6016521651741396,-0.0288402962,0.13038331910069767,0.009253170739287017,-0.9310251650970143,0.13353491148242128,0.302246,0.09990424575662496,2.26342307524417,1.1767872145230611,2.6635673360038084,3.0253569076162825,-1.0874755,0.02620686453488856,0.2719072317797563,-0.5568973482733282,1.0877912312796973,1.14526,1.0873170290910115,1.0528306967989578,1.000290334154376,1.0531363695090141,1.0532898587612745,-0.8713740469999999,1.4059393743171413,0.05856548805312419,-0.7230615454927141,1.6540732311601063,3.55725,1.181841110384889,2.1506000659384803,1.213709514654663,2.610203762246479,3.009922373441142,0.6304579919999999,3.080078865747744,-0.07783701695032844,-1.0154255502727223,3.1439406958310423,7.17557,2.459175681998983,2.282349030792793,1.1513692144059675,2.62782641058412,2.917876121061515,1.3809925400000003,13.026634679810682,0.07444270800305844,-1.308042397404599,13.099631730578613,25.1069,10.223651292950466,1.9166111320055426,1.1438747089408536,2.19236300077564,2.455766465481076,col_20260201_134448_1hz
LOW,220,320,1770047795.2831,1770047895.1136,1770047844.975138,0.270698235,0.09911132292376121,-0.29737699735743617,-1.2571938451306703,0.2882717273057025,0.43335,0.26021396437767225,1.5032691691629088,1.0649191240781548,1.6008600868786602,1.665360277786782,-0.020895952799999992,0.1295795678135126,-0.023951149399681532,-1.0313355478113042,0.1312535913343194,0.302246,0.10101290536811368,2.302763657187417,1.159126947802306,2.6691954094657264,2.992152328443062,-1.0835692000000001,0.02650519227170405,0.286572774478045,-0.7078348857329786,1.0838933233515187,1.13647,1.0834064818364324,1.0485072428400135,1.0002991256594582,1.0488208782604747,1.048978401969335,-0.6573282479999998,1.3932685226176396,0.11221508037180336,-0.22412564312179528,1.540544579600308,3.55725,1.1195524213274397,2.30908605119556,1.2108436859636542,2.7959422654368913,3.1773858304751927,0.6575571939999999,3.0593107374299318,-0.035324284735584834,-0.8981007547605286,3.1291793894782107,7.17557,2.3405807199718702,2.2931155766037827,1.1782768910741406,2.7019250924743905,3.0657220828881466,0.7652668270000003,13.148310812753117,0.05854144231200543,-1.23440865619147,13.170562271416781,25.3893,10.113902310235167,1.9277309105550302,1.1511580970985795,2.2191230467126406,2.510336685208664,col_20260201_134448_1hz
LOW,240,340,1770047815.1689,1770047917.2499,1770047865.311822,0.26872802,0.10211358650662213,-0.248239326241626,-1.2696344624311589,0.2874751002823823,0.43335,0.2574749926847431,1.5074349033162422,1.069762283376264,1.6125970042126607,1.683076074617473,-0.0210424412,0.1307371810984653,-0.06879603914997462,-1.0335749163166519,0.13241976760751534,0.302246,0.10032204771087651,2.2824839935970886,1.1667090572950958,2.6629947484608048,3.0127574834901596,-1.0830883999999998,0.025992901597166874,0.22799854768906128,-0.5482187065710349,1.083400255283337,1.13672,1.0829319595119378,1.0492151856681244,1.0002879315144888,1.0495172877855585,1.04966890118591,-0.6992365590000001,1.4776143481215998,-0.038032383762411984,-0.2078934414874345,1.634709737909755,4.38168,1.1579999912550778,2.6804024582386705,1.2305882293225614,3.2984717149557663,3.783834225465748,0.633969434,2.907315645671045,-0.0590035256515123,-0.9366394294745466,2.975634639334931,6.76336,2.2693136535431613,2.2729134520062058,1.1666362136972992,2.651663143710178,2.9803548704869955,0.950380827,13.504812732537461,0.03265994084610522,-1.0877720032105382,13.538212240071994,28.0992,10.19388944738447,2.07554731021491,1.1667651798665155,2.421676330724362,2.756474861242452,col_20260201_134448_1hz
LOW,260,360,1770047835.2425,1770047937.3503,1770047885.858667,0.268784173,0.10165974539687167,-0.273750401123217,-1.1625772753083154,0.2873667264828179,0.43335,0.25747099540422635,1.5080033979713745,1.069135594091762,1.6122601087825212,1.6831022046566673,-0.019943821800000004,0.12896900074547935,-0.1739356974444865,-0.895254720642221,0.13050195087153912,0.301025,0.09689724065675016,2.3066704979477044,1.1827325556084813,2.7281742929843764,3.1066416129057193,-1.0845407999999999,0.026017734362545866,0.11336545111533539,-0.390709055052346,1.0848528330451095,1.14111,1.0843844810191314,1.0518569572215435,1.0002877098262322,1.0521595868039268,1.0523112604189582,-0.7140454599999998,1.488722496348906,0.030758327940818002,-0.24332835713833445,1.6511073829651204,4.38168,1.1903400995125675,2.6537825735666054,1.2191132947207353,3.2352616167332564,3.681032002361556,0.7514502190000002,3.0031198433827595,-0.055743639343794324,-1.0983600166126477,3.095707709935555,6.76336,2.4051702836394004,2.184754063923172,1.1514416242670358,2.515616767987704,2.812008798714232,1.0593126970000002,13.372890046016092,-0.04194390196963365,-0.8980460615384258,13.414780340089873,28.0992,9.78321132912814,2.0946448087581393,1.191115862986685,2.494964659034531,2.8721857327499993,col_20260201_134448_1hz
LOW,280,380,1770047855.1846,1770047957.3128,1770047906.4902244,0.26707031600000003,0.0998662100019318,-0.2084111196448667,-1.2049992912661445,0.28513122170062294,0.43335,0.2563090898143978,1.519826546582125,1.0676260318672888,1.6226063850540393,1.6907320778744273,-0.025671366800000005,0.12541269810039957,-0.18985325368994518,-0.893506999388582,0.12801313963106328,0.301025,0.09229649561915268,2.351516421420182,1.2006637266030091,2.8233804697105276,3.2614997783028885,-1.0860811000000001,0.02520780815124552,0.24136878566852352,-0.386110348285881,1.0863735956700162,1.14111,1.0859343629408997,1.0503845127938933,1.000269312917807,1.0506673949118532,1.050809366516108,-0.617098908,1.6071535856767694,0.17868143733628564,-0.20089825653058213,1.7215556076434153,4.38168,1.236374012126232,2.5451864468078074,1.217599612332919,3.099018030948186,3.543976140734861,0.859923449,3.0131242041023754,-0.0884089603333762,-1.012870916278365,3.133430357848668,6.76336,2.398260886467749,2.158452311875713,1.1618766487369354,2.5078553385806437,2.8201102049249265,1.409846797,13.385720588964675,-0.10601287219529844,-0.9314097380211424,13.45976165007553,28.0992,10.104330851177,2.0876446946474956,1.1755409035112834,2.454111730556454,2.7809065651019207,col_20260201_134448_1hz
LOW,300,400,1770047876.1127,1770047977.3569,1770047927.022597,0.26945313600000004,0.09780277540640299,-0.3051848734602306,-1.0599875801138756,0.28665375521250336,0.43335,0.2590098849544938,1.5117541358519695,1.063835290499285,1.6082574002775754,1.673102167803891,-0.029277333399999998,0.12466782863395447,-0.21750110792396532,-0.9727098270829817,0.12805947738187828,0.301025,0.0935719000257114,2.3506655356895756,1.1961951373465844,2.811854683320074,3.2170448598060446,-1.0856444000000003,0.025280892560192565,0.16709710567758823,-0.4456637201212241,1.0859387122577406,1.14111,1.0854968786006949,1.0508051578965765,1.0002710945294244,1.0510900254263733,1.0512328708590997,-0.583434879,1.5703433553706814,0.17638109277007408,-0.08008085211576432,1.6752237199223852,4.38168,1.1953242853180386,2.6155790106667114,1.2247017651789842,3.203304231328623,3.665683073471708,0.879236787,3.117423695258525,-0.1737845699493732,-0.8936865691615212,3.239041188897326,6.94656,2.4466596362937674,2.144634660346765,1.1717508154399554,2.512977412082114,2.8392016187926905,1.026260457,13.267816980542676,-0.15298742320405762,-0.9148659657323797,13.307448213492265,28.0992,10.01106925866835,2.1115393086039256,1.1745560757429443,2.480121324090797,2.806813066013859,col_20260201_134448_1hz
LOW,320,420,1770047896.1327,1770047997.3,1770047947.461282,0.26692628799999996,0.09317959388690453,-0.24023437878889584,-1.037048252507983,0.28272262014629707,0.415283,0.25759302919353727,1.4688707956410014,1.0591786304176123,1.5557965575874644,1.6121670733876328,-0.03739746339999999,0.1257513842433969,-0.25449439723376266,-0.9673261100383632,0.13119443931769667,0.301025,0.09347175417237662,2.2944951140120087,1.215389696101369,2.7887057193251312,3.220491609100034,-1.0874095,0.024389382664389034,0.1498909294697655,-0.4912277648106871,1.0876829789405549,1.14111,1.0872724636060194,1.0491200304628148,1.0002514958169437,1.0493838797619481,1.0495161407982545,-0.7029768430000002,1.589761150290392,0.12356083376579176,-0.3817120470058075,1.7382511201684518,4.38168,1.2094727530995473,2.520740501277731,1.2316020481346783,3.104549164189689,3.6228017446205008,0.67717578,3.1287017947289266,-0.09529453736776436,-0.9984600774160706,3.201146975282237,6.94656,2.4589888353481837,2.1700221994297966,1.161474237852717,2.5204248802061997,2.8249660592771226,1.2596197700000002,13.329606359047904,-0.13770027394541445,-0.8975148873244132,13.388989792069646,28.0992,9.90942435933566,2.098679619327462,1.1845383064033133,2.485966401961302,2.835603661834077,col_20260201_134448_1hz
LOW,340,440,1770047917.5072,1770048017.4014,1770047967.7595649,0.268464363,0.0913072271695901,-0.24266955935286838,-1.1143125436621308,0.2835667891950588,0.415283,0.259696662030852,1.4644980153664497,1.0562548638720395,1.5468831518617614,1.5991079621603466,-0.036508798300000006,0.12957262999658048,-0.2218047234450593,-1.0125809648841846,0.13461782496215285,0.307373,0.10029997767234151,2.283300893372898,1.1890165434147568,2.7148825358140694,3.0645370730203108,-1.0870335999999998,0.02470285807432007,0.29639129325084396,-0.531792801461894,1.0873142502174797,1.14111,1.0868927322628903,1.0494758068072412,1.000258179892029,1.0497467603577297,1.0498828137568188,-0.6725190719999999,1.5496883052313841,0.06060447648176337,-0.009003152063458586,1.6893240499012203,5.21374,1.1628409979198375,3.086287678379327,1.2413138493484601,3.8310516382457647,4.483622446513894,0.5902292900000002,3.1500372078684147,-0.08181266801933684,-1.0299294139034976,3.2048564750592723,6.94656,2.4822036952959645,2.167510481064999,1.156956057869668,2.5077143815641487,2.798545507431343,1.1945799799999999,13.0484279153638,-0.07904724983720057,-0.9187596726878908,13.102995550295438,25.6641,9.56101611549804,1.9586437239857983,1.192016733476676,2.3347360939101436,2.6842439851554567,col_20260201_134448_1hz
