id,timestamp,temperature,vibration,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,fan_state,collection_id,timestamp_iso,sample_rate_configured_hz,sample_rate_real_hz
8,1770047573.9532,27.3535,16.4656,0.144043,0.102295,-1.12524,-0.671756,1.47328,14.3206,LOW,col_20260201_134448_1hz,2026-02-02T15:52:53.953200Z,1,1.0
9,1770047574.952,27.3065,22.4046,0.355469,0.0822754,-1.08569,-2.09924,4.15267,16.1527,LOW,col_20260201_134448_1hz,2026-02-02T15:52:54.951999Z,1,1.0
10,1770047575.9727,27.2594,20.2977,0.259521,0.0646973,-1.11646,-2.27481,-2.16031,15.8626,LOW,col_20260201_134448_1hz,2026-02-02T15:52:55.972700Z,1,1.0
11,1770047577.0711,27.3535,27.3664,0.273193,-0.11792,-1.09448,-2.16794,3.33588,21.8626,LOW,col_20260201_134448_1hz,2026-02-02T15:52:57.071099Z,1,1.0
12,1770047577.9571,27.2594,11.4962,0.358398,-0.0722656,-1.05786,-0.0534351,-1.44275,10.0,LOW,col_20260201_134448_1hz,2026-02-02T15:52:57.957099Z,1,1.0
13,1770047578.9848,27.2594,12.3359,0.142334,-0.0725098,-1.12646,-0.122137,-0.396947,11.8168,LOW,col_20260201_134448_1hz,2026-02-02T15:52:58.984800Z,1,1.0
14,1770047579.9787,27.3535,15.2901,0.174072,-0.201172,-1.05981,0.183206,6.64885,8.45802,LOW,col_20260201_134448_1hz,2026-02-02T15:52:59.978699Z,1,1.0
15,1770047580.9741,27.3065,2.67939,0.413086,-0.209229,-1.02368,-0.396947,-1.30534,-0.977099,LOW,col_20260201_134448_1hz,2026-02-02T15:53:00.974100Z,1,1.0
16,1770047581.9493,27.3065,25.1908,0.371338,-0.0991211,-1.05225,-0.0458015,-3.19084,-21.9542,LOW,col_20260201_134448_1hz,2026-02-02T15:53:01.949300Z,1,1.0
17,1770047583.1129,27.2594,19.313,0.26709,0.0258789,-1.08813,-0.0381679,-2.41985,-16.855,LOW,col_20260201_134448_1hz,2026-02-02T15:53:03.112900Z,1,1.0
18,1770047583.9999,27.2594,16.0916,0.266113,0.0283203,-1.11719,1.0916,-2.39695,-12.6031,LOW,col_20260201_134448_1hz,2026-02-02T15:53:03.999900Z,1,1.0
19,1770047585.067,27.2594,9.41985,0.15625,0.0546875,-1.10522,2.20611,-1.26718,-5.94656,LOW,col_20260201_134448_1hz,2026-02-02T15:53:05.066999Z,1,1.0
20,1770047585.9737,27.3535,5.12977,0.137939,-0.0131836,-1.14575,-0.664122,4.00763,-0.458015,LOW,col_20260201_134448_1hz,2026-02-02T15:53:05.973700Z,1,1.0
21,1770047586.9587,27.3535,9.79389,0.235107,0.020752,-1.12329,-1.84733,4.68702,3.25954,LOW,col_20260201_134448_1hz,2026-02-02T15:53:06.958699Z,1,1.0
22,1770047587.9797,27.3065,8.21374,0.338135,0.0361328,-1.07349,-2.27481,3.49618,2.44275,LOW,col_20260201_134448_1hz,2026-02-02T15:53:07.979700Z,1,1.0
23,1770047589.0524,27.3065,7.09924,0.382812,0.0266113,-1.05713,-3.51908,-0.549618,3.03053,LOW,col_20260201_134448_1hz,2026-02-02T15:53:09.052400Z,1,1.0
24,1770047589.9578,27.2124,18.0992,0.307373,0.0668945,-1.10303,-2.60305,-3.38931,12.1069,LOW,col_20260201_134448_1hz,2026-02-02T15:53:09.957799Z,1,1.0
25,1770047590.9766,27.3065,24.4122,0.170654,-0.0351562,-1.11499,-0.396947,1.69466,22.3206,LOW,col_20260201_134448_1hz,2026-02-02T15:53:10.976599Z,1,1.0
26,1770047591.9635,27.3065,14.2672,0.35498,-0.0932617,-1.06519,-3.57252,0.19084,10.5038,LOW,col_20260201_134448_1hz,2026-02-02T15:53:11.963500Z,1,1.0
27,1770047592.9686,27.3535,22.2214,0.12085,-0.114502,-1.10327,-0.793893,1.87786,19.5496,LOW,col_20260201_134448_1hz,2026-02-02T15:53:12.968600Z,1,1.0
28,1770047594.0724,27.3535,5.45802,0.364502,-0.109375,-1.06348,-1.32061,-3.78626,-0.351145,LOW,col_20260201_134448_1hz,2026-02-02T15:53:14.072400Z,1,1.0
29,1770047595.0163,27.2124,13.9542,0.127441,-0.154541,-1.1167,-0.198473,6.89313,6.8626,LOW,col_20260201_134448_1hz,2026-02-02T15:53:15.016299Z,1,1.0
30,1770047595.9728,27.2124,12.0534,0.377441,-0.191895,-1.0542,0.557252,0.129771,-11.3664,LOW,col_20260201_134448_1hz,2026-02-02T15:53:15.972800Z,1,1.0
31,1770047596.9698,27.2594,24.7863,0.361084,-0.0539551,-1.0603,-0.984733,-3.77099,-20.0305,LOW,col_20260201_134448_1hz,2026-02-02T15:53:16.969799Z,1,1.0
32,1770047598.0816,27.2124,21.9695,0.302979,0.0559082,-1.09717,-0.931298,-2.64885,-18.3893,LOW,col_20260201_134448_1hz,2026-02-02T15:53:18.081599Z,1,1.0
33,1770047599.0038,27.4006,18.7405,0.23291,0.0981445,-1.10327,0.19084,-3.64885,-14.9008,LOW,col_20260201_134448_1hz,2026-02-02T15:53:19.003799Z,1,1.0
34,1770047599.9859,27.3065,15.145,0.188965,0.155273,-1.10132,1.57252,-3.77099,-9.80153,LOW,col_20260201_134448_1hz,2026-02-02T15:53:19.985899Z,1,1.0
35,1770047601.0342,27.2594,5.70229,0.137939,0.119385,-1.0813,2.0687,-2.27481,-1.35878,LOW,col_20260201_134448_1hz,2026-02-02T15:53:21.034199Z,1,1.0
36,1770047601.9759,27.4006,10.6718,0.155762,0.0266113,-1.12305,-1.31298,4.30534,5.05344,LOW,col_20260201_134448_1hz,2026-02-02T15:53:21.975899Z,1,1.0
37,1770047602.9888,27.3535,9.38168,0.331055,0.0842285,-1.07471,-1.58779,3.44275,4.35115,LOW,col_20260201_134448_1hz,2026-02-02T15:53:22.988800Z,1,1.0
38,1770047604.0176,27.3065,9.14504,0.406494,0.0637207,-1.04297,-1.73282,0.183206,7.22901,LOW,col_20260201_134448_1hz,2026-02-02T15:53:24.017600Z,1,1.0
39,1770047604.9921,27.2124,20.626,0.219971,0.0944824,-1.11304,1.0229,-1.38168,18.2214,LOW,col_20260201_134448_1hz,2026-02-02T15:53:24.992100Z,1,1.0
40,1770047605.9521,27.3065,30.2214,0.245605,-0.0578613,-1.10571,1.0,3.8855,25.3359,LOW,col_20260201_134448_1hz,2026-02-02T15:53:25.952100Z,1,1.0
41,1770047606.9746,27.3065,9.41985,0.350586,-0.112305,-1.05737,-0.770992,0.0610687,8.58779,LOW,col_20260201_134448_1hz,2026-02-02T15:53:26.974600Z,1,1.0
42,1770047607.993,27.3065,15.3588,0.156738,-0.125244,-1.10645,-0.435115,-0.0305344,14.8931,LOW,col_20260201_134448_1hz,2026-02-02T15:53:27.993000Z,1,1.0
43,1770047609.0213,27.3535,17.8473,0.230957,-0.256592,-1.08276,0.0152672,6.54198,11.2901,LOW,col_20260201_134448_1hz,2026-02-02T15:53:29.021300Z,1,1.0
44,1770047609.9731,27.3535,6.24428,0.405518,-0.252441,-1.05347,0.0610687,-3.57252,-2.61069,LOW,col_20260201_134448_1hz,2026-02-02T15:53:29.973099Z,1,1.0
45,1770047610.9788,27.3065,23.5344,0.355957,-0.195801,-1.08423,-1.19084,-3.74809,-18.5954,LOW,col_20260201_134448_1hz,2026-02-02T15:53:30.978800Z,1,1.0
46,1770047612.0026,27.3065,30.6107,0.342285,-0.154053,-1.06592,-1.23664,-3.10687,-26.2672,LOW,col_20260201_134448_1hz,2026-02-02T15:53:32.002599Z,1,1.0
47,1770047612.9814,27.2124,23.8473,0.364746,-0.0505371,-1.06372,-1.44275,-1.59542,-20.8092,LOW,col_20260201_134448_1hz,2026-02-02T15:53:32.981400Z,1,1.0
48,1770047614.0538,27.2594,21.3435,0.352539,0.0627441,-1.07617,-1.65649,-3.31298,-16.374,LOW,col_20260201_134448_1hz,2026-02-02T15:53:34.053800Z,1,1.0
49,1770047614.9805,27.3065,5.58015,0.15332,0.081543,-1.10596,1.38168,-2.03817,-2.16031,LOW,col_20260201_134448_1hz,2026-02-02T15:53:34.980499Z,1,1.0
50,1770047615.9699,27.2594,11.2595,0.269287,-0.0146484,-1.11768,-4.42748,4.37405,-2.45802,LOW,col_20260201_134448_1hz,2026-02-02T15:53:35.969899Z,1,1.0
51,1770047616.9526,27.4006,6.87786,0.35791,0.0864258,-1.07617,-3.15267,-0.801527,-2.92366,LOW,col_20260201_134448_1hz,2026-02-02T15:53:36.952600Z,1,1.0
52,1770047617.9808,27.3535,6.58015,0.293701,0.138184,-1.0813,-1.69466,-3.17557,1.70992,LOW,col_20260201_134448_1hz,2026-02-02T15:53:37.980799Z,1,1.0
53,1770047618.9764,27.3065,24.8244,0.165039,-0.00292969,-1.11792,-1.53435,1.1145,22.1756,LOW,col_20260201_134448_1hz,2026-02-02T15:53:38.976399Z,1,1.0
54,1770047619.9901,27.3065,10.1985,0.371338,-0.0427246,-1.07886,-3.96947,-0.0152672,6.21374,LOW,col_20260201_134448_1hz,2026-02-02T15:53:39.990099Z,1,1.0
55,1770047620.9624,27.2594,28.2137,0.281738,-0.22168,-1.08325,-2.67176,3.83206,21.7099,LOW,col_20260201_134448_1hz,2026-02-02T15:53:40.962399Z,1,1.0
56,1770047621.9628,27.2124,19.0687,0.206055,-0.124268,-1.11328,-2.0,-1.61832,15.4504,LOW,col_20260201_134448_1hz,2026-02-02T15:53:41.962800Z,1,1.0
57,1770047623.0806,27.3065,8.83206,0.389893,-0.246826,-1.06445,-2.17557,0.335878,6.32061,LOW,col_20260201_134448_1hz,2026-02-02T15:53:43.080600Z,1,1.0
58,1770047623.954,27.2594,3.64885,0.074707,-0.176514,-1.13525,0.0992366,0.885496,2.66412,LOW,col_20260201_134448_1hz,2026-02-02T15:53:43.953999Z,1,1.0
59,1770047624.9788,27.4006,21.2443,0.389893,-0.295898,-1.08643,-2.63359,3.92366,-14.687,LOW,col_20260201_134448_1hz,2026-02-02T15:53:44.978800Z,1,1.0
60,1770047626.0193,27.3065,25.3053,0.31543,-0.0915527,-1.0835,-0.687023,-3.99237,-20.626,LOW,col_20260201_134448_1hz,2026-02-02T15:53:46.019299Z,1,1.0
61,1770047626.9805,27.3535,15.5267,0.209229,-0.0795898,-1.12134,-0.740458,-0.160305,-14.626,LOW,col_20260201_134448_1hz,2026-02-02T15:53:46.980499Z,1,1.0
62,1770047627.9545,27.3065,14.5115,0.226318,-0.0686035,-1.12451,-1.58779,4.83206,-8.0916,LOW,col_20260201_134448_1hz,2026-02-02T15:53:47.954499Z,1,1.0
63,1770047628.9528,27.3065,17.4656,0.317871,-0.00830078,-1.09009,-3.45802,5.21374,-8.79389,LOW,col_20260201_134448_1hz,2026-02-02T15:53:48.952800Z,1,1.0
64,1770047630.0134,27.4006,17.2137,0.368164,0.172852,-1.04663,-1.82443,-2.22901,-13.1603,LOW,col_20260201_134448_1hz,2026-02-02T15:53:50.013400Z,1,1.0
65,1770047631.0374,27.2124,4.44275,0.155518,0.123047,-1.09326,0.450382,-1.35115,2.64122,LOW,col_20260201_134448_1hz,2026-02-02T15:53:51.037400Z,1,1.0
66,1770047632.053,27.3065,12.0076,0.175537,0.064209,-1.12183,-2.9313,4.31298,4.76336,LOW,col_20260201_134448_1hz,2026-02-02T15:53:52.052999Z,1,1.0
67,1770047632.9733,27.3065,11.8244,0.34082,0.124268,-1.05371,-2.8855,1.41985,7.51908,LOW,col_20260201_134448_1hz,2026-02-02T15:53:52.973299Z,1,1.0
68,1770047634.0222,27.3535,17.6947,0.28418,0.110352,-1.11353,-1.54198,-2.63359,13.5191,LOW,col_20260201_134448_1hz,2026-02-02T15:53:54.022200Z,1,1.0
69,1770047634.962,27.2594,28.8473,0.246094,-0.0698242,-1.09961,1.71756,5.10687,22.0229,LOW,col_20260201_134448_1hz,2026-02-02T15:53:54.961999Z,1,1.0
70,1770047635.9655,27.3535,11.0763,0.332275,0.0107422,-1.073,-0.480916,-1.32824,9.26718,LOW,col_20260201_134448_1hz,2026-02-02T15:53:55.965500Z,1,1.0
71,1770047636.979,27.2124,23.8321,0.251953,-0.199463,-1.07178,-0.748092,5.09924,17.9847,LOW,col_20260201_134448_1hz,2026-02-02T15:53:56.979000Z,1,1.0
72,1770047637.9519,27.3065,6.61069,0.202148,-0.123047,-1.09619,0.89313,-3.15267,2.56489,LOW,col_20260201_134448_1hz,2026-02-02T15:53:57.951900Z,1,1.0
73,1770047638.9605,27.4006,8.35878,0.347656,-0.240723,-1.05103,-0.534351,5.46565,2.35878,LOW,col_20260201_134448_1hz,2026-02-02T15:53:58.960500Z,1,1.0
74,1770047639.9661,27.3065,19.3282,0.20874,-0.10791,-1.07764,0.519084,-4.54198,-14.2672,LOW,col_20260201_134448_1hz,2026-02-02T15:53:59.966099Z,1,1.0
75,1770047640.9769,27.3065,16.6183,0.217285,-0.153076,-1.11426,0.473282,4.28244,-11.8626,LOW,col_20260201_134448_1hz,2026-02-02T15:54:00.976900Z,1,1.0
76,1770047641.9989,27.3065,22.687,0.397949,-0.0473633,-1.07422,-1.51145,-0.48855,-20.687,LOW,col_20260201_134448_1hz,2026-02-02T15:54:01.998899Z,1,1.0
77,1770047642.9793,27.3065,15.5725,0.226807,0.0842285,-1.11353,-0.977099,-3.38168,-11.2137,LOW,col_20260201_134448_1hz,2026-02-02T15:54:02.979300Z,1,1.0
78,1770047643.9489,27.2124,1.54962,0.133789,0.0576172,-1.13135,-0.0305344,0.21374,-1.30534,LOW,col_20260201_134448_1hz,2026-02-02T15:54:03.948899Z,1,1.0
79,1770047644.9606,27.3065,7.12977,0.205078,0.0629883,-1.12549,-3.21374,3.66412,-0.251908,LOW,col_20260201_134448_1hz,2026-02-02T15:54:04.960599Z,1,1.0
80,1770047645.9738,27.3535,7.92366,0.312744,0.0905762,-1.05249,-2.30534,3.83969,1.77863,LOW,col_20260201_134448_1hz,2026-02-02T15:54:05.973799Z,1,1.0
